week,sector_engagement_rate
2023-08-07,0.004564748201438849
2023-08-14,0.002356115107913669
2023-08-21,0.0033788968824940047
2023-09-04,0.0015287769784172662
2023-09-11,0.009338129496402878
2023-09-18,0.004053956834532374
2023-09-25,0.0031942446043165466
2023-10-02,0.006964028776978417
2024-12-30,0.006136690647482014
2025-01-06,0.005798561151079136
2025-01-13,0.004705035971223022
2025-01-20,0.014115107913669066
2025-01-27,0.002514388489208633
2025-02-03,0.03888129496402878
2025-02-17,0.011565947242206234
2025-02-24,0.010645083932853716
2025-03-03,0.002191846522781775
2025-03-10,0.005294964028776978
