week,business_engagement_rate,business_name,sector
2023-08-07,0.004564748201438849,Vanilla Palestine,Cafe
2023-08-14,0.002356115107913669,Vanilla Palestine,Cafe
2023-08-21,0.0033788968824940047,Vanilla Palestine,Cafe
2023-09-04,0.0015287769784172662,Vanilla Palestine,Cafe
2023-09-11,0.009338129496402878,Vanilla Palestine,Cafe
2023-09-18,0.004053956834532374,Vanilla Palestine,Cafe
2023-09-25,0.0031942446043165466,Vanilla Palestine,Cafe
2023-10-02,0.006964028776978417,Vanilla Palestine,Cafe
2024-12-30,0.006136690647482014,Vanilla Palestine,Cafe
2025-01-06,0.005798561151079136,Vanilla Palestine,Cafe
2025-01-13,0.004705035971223022,Vanilla Palestine,Cafe
2025-01-20,0.014115107913669066,Vanilla Palestine,Cafe
2025-01-27,0.002514388489208633,Vanilla Palestine,Cafe
2025-02-03,0.03888129496402878,Vanilla Palestine,Cafe
2025-02-10,0.07569301260022909,Vanilla Palestine,Cafe
2025-02-17,0.014974574979191906,Vanilla Palestine,Cafe
2025-02-24,0.009007898011487717,Vanilla Palestine,Cafe
2025-03-03,0.007103941588996844,Vanilla Palestine,Cafe
2025-03-10,0.009806907934624317,Vanilla Palestine,Cafe
2025-03-17,0.007173539518900344,Vanilla Palestine,Cafe
2025-03-24,0.045624284077892326,Vanilla Palestine,Cafe
2025-04-07,0.036781214203894616,Vanilla Palestine,Cafe
2025-04-14,0.017147766323024054,Vanilla Palestine,Cafe
2025-04-21,0.0055441008018327605,Vanilla Palestine,Cafe
2025-04-28,0.013982436044291715,Vanilla Palestine,Cafe
2025-05-05,0.04533791523482245,Vanilla Palestine,Cafe
2026-01-05,0.003971223021582734,Vanilla Palestine,Cafe
2026-01-12,0.00043884892086330936,Vanilla Palestine,Cafe
2026-01-19,0.00019424460431654677,Vanilla Palestine,Cafe
2026-01-26,0.0037050359712230215,Vanilla Palestine,Cafe
2026-02-02,0.015305755395683454,Vanilla Palestine,Cafe
2026-02-16,0.009514388489208634,Vanilla Palestine,Cafe
2026-02-23,0.009942446043165468,Vanilla Palestine,Cafe
2026-03-02,0.012697841726618704,Vanilla Palestine,Cafe
2026-03-09,0.012544364508393286,Vanilla Palestine,Cafe
2026-03-16,0.008492805755395683,Vanilla Palestine,Cafe
2026-03-23,0.012866906474820142,Vanilla Palestine,Cafe
2026-03-30,0.010744604316546762,Vanilla Palestine,Cafe
2026-04-06,0.008949640287769785,Vanilla Palestine,Cafe
2026-04-13,0.01083453237410072,Vanilla Palestine,Cafe
