ds,yhat,forecast_type
2024-01-01,5.624761904761905,history
2024-01-08,21.783269230769232,history
2024-01-15,19.975405405405407,history
2024-01-22,7.693939393939394,history
2024-01-29,18.034,history
2024-02-05,3.2206382978723407,history
2024-02-12,15.562745098039214,history
2024-02-19,22.17063829787234,history
2024-02-26,8.707727272727272,history
2024-03-04,14.473958333333334,history
2024-03-11,15.756304347826086,history
2024-03-18,13.181764705882353,history
2024-03-25,10.87425925925926,history
2024-04-01,9.468367346938775,history
2024-04-08,10.860000000000001,history
2024-04-15,10.157142857142857,history
2024-04-22,7.012307692307692,history
2024-04-29,4.805178571428571,history
2024-05-06,5.878958333333333,history
2024-05-13,5.183400000000001,history
2024-05-20,6.942264150943396,history
2024-05-27,7.583703703703703,history
2024-06-03,4.331470588235295,history
2024-06-10,22.97529411764706,history
2024-06-17,5.786304347826087,history
2024-06-24,7.741224489795918,history
2024-07-01,10.697272727272727,history
2024-07-08,3.0023913043478263,history
2024-07-15,7.724500000000001,history
2024-07-22,7.193513513513514,history
2024-07-29,5.0169999999999995,history
2024-08-05,9.344324324324324,history
2024-08-12,7.604038461538461,history
2024-08-19,9.55923076923077,history
2024-08-26,18.032244897959185,history
2024-09-02,3.6738636363636363,history
2024-09-09,26.07734693877551,history
2024-09-16,18.690882352941177,history
2024-09-23,3.4704545454545452,history
2024-09-30,31.112765957446808,history
2024-10-07,14.767346938775509,history
2024-10-14,9.71921568627451,history
2024-10-21,8.134358974358975,history
2024-10-28,8.587659574468086,history
2024-11-04,11.160925925925925,history
2024-11-11,4.911538461538462,history
2024-11-18,9.0182,history
2024-11-25,7.9665,history
2024-12-02,8.052619047619046,history
2024-12-09,5.004693877551021,history
2024-12-16,7.243333333333333,history
2024-12-23,5.1955,history
2024-12-30,15.193846153846154,history
2025-01-06,11.596216216216217,history
2025-01-13,5.585087719298246,history
2025-01-20,9.391311475409836,history
2025-01-27,3.9040909090909093,history
2025-02-03,27.66046511627907,history
2025-02-10,10.019782608695653,history
2025-02-17,9.032222222222222,history
2025-02-24,12.665471698113207,history
2025-03-03,4.452558139534884,history
2025-03-10,4.418636363636363,history
2025-03-17,9.2446,history
2025-03-24,7.79,history
2025-03-31,9.293333333333333,history
2025-04-07,4.864423076923077,history
2025-04-14,7.3585714285714285,history
2025-04-21,15.91047619047619,history
2025-04-28,8.066326530612244,history
2025-05-05,5.257179487179487,history
2025-05-12,8.743877551020407,history
2025-05-19,11.651999999999997,history
2025-05-26,5.3652083333333325,history
2025-06-02,15.982448979591837,history
2025-06-09,15.818947368421053,history
2025-06-16,3.3354000000000004,history
2025-06-23,12.685116279069769,history
2025-06-30,7.9581967213114755,history
2025-07-07,13.08475,history
2025-07-14,7.761956521739131,history
2025-07-21,7.637346938775511,history
2025-07-28,8.934255319148937,history
2025-08-04,53.313448275862065,history
2025-08-11,11.513333333333334,history
2025-08-18,7.633928571428571,history
2025-08-25,39.8522,history
2025-09-01,20.143846153846155,history
2025-09-08,24.446818181818184,history
2025-09-15,25.604000000000003,history
2025-09-22,10.210888888888888,history
2025-09-29,3.226976744186046,history
2025-10-06,25.902727272727272,history
2025-10-13,10.008474576271187,history
2025-10-20,8.099824561403508,history
2025-10-27,5.340888888888889,history
2025-11-03,60.70174603174603,history
2025-11-10,7.19095238095238,history
2025-11-17,7.3274418604651155,history
2025-11-24,7.049393939393939,history
2025-12-01,25.631785714285716,history
2025-12-08,11.918863636363637,history
2025-12-15,3.5811111111111114,history
2025-12-22,6.790232558139535,history
2025-12-29,7.821538461538461,history
2026-01-05,7.527936441788187,future
2026-01-12,7.527936441788187,future
2026-01-19,7.527936441788187,future
2026-01-26,7.527936441788187,future
2026-02-02,7.527936441788187,future
2026-02-09,7.527936441788187,future
2026-02-16,7.527936441788187,future
2026-02-23,7.527936441788187,future
