caption_text,hashtags,likes_count,comments_count,views_count,post_type,language,_clean_text,topic_id,topic_probability,business_label,topic_description
great coffee offer today,#food #offer,10,1,100,post,English,great coffee today,0,0.717624392481559,Combo Coffee,Keyword-driven content theme detected from captions.
new menu launch this week,#food #offer,11,2,105,reel,English,new menu launch this week,0,1.0,Combo Coffee,Keyword-driven content theme detected from captions.
weekend family brunch deal,#food #offer,12,3,110,post,English,weekend family brunch deal,1,1.0,Family Special,Keyword-driven content theme detected from captions.
try our signature dessert,#food #offer,13,4,115,reel,English,try our signature dessert,0,0.4284287285642218,Combo Coffee,Keyword-driven content theme detected from captions.
fresh ingredients every day,#food #offer,14,1,120,post,English,fresh ingredients every day,2,1.0,Salad Day,Keyword-driven content theme detected from captions.
discount on lunch combo,#food #offer,15,2,125,reel,English,discount on lunch combo,0,1.0,Combo Coffee,Keyword-driven content theme detected from captions.
best shawarma in town,#food #offer,16,3,130,post,English,best shawarma in town,0,0.67190659249449,Combo Coffee,Keyword-driven content theme detected from captions.
happy hour drinks now,#food #offer,17,4,135,reel,English,happy hour drinks now,0,1.0,Combo Coffee,Keyword-driven content theme detected from captions.
order online with free delivery,#food #offer,18,1,140,post,English,order online with free delivery,0,1.0,Combo Coffee,Keyword-driven content theme detected from captions.
limited time dinner package,#food #offer,19,2,145,reel,English,limited time dinner package,0,0.44576453270953087,Combo Coffee,Keyword-driven content theme detected from captions.
chef special seafood platter,#food #offer,20,3,150,post,English,chef special seafood platter,1,0.5130994289364756,Family Special,Keyword-driven content theme detected from captions.
book your table for tonight,#food #offer,21,4,155,reel,English,book your table for tonight,0,0.48249421339272114,Combo Coffee,Keyword-driven content theme detected from captions.
fresh bakery croissant daily,#food #offer,22,1,160,post,English,fresh bakery croissant daily,0,0.5678904760614065,Combo Coffee,Keyword-driven content theme detected from captions.
organic salad healthy lunch,#food #offer,23,2,165,reel,English,organic salad healthy lunch,2,1.0,Salad Day,Keyword-driven content theme detected from captions.
buy one get one pizza,#food #offer,24,3,170,post,English,buy one get one pizza,0,0.5860975741070984,Combo Coffee,Keyword-driven content theme detected from captions.
ramadan iftar package special,#food #offer,25,4,175,reel,English,ramadan iftar package special,1,0.38317905947978986,Family Special,Keyword-driven content theme detected from captions.
eid celebration family meal,#food #offer,26,1,180,post,English,eid celebration family meal,1,1.0,Family Special,Keyword-driven content theme detected from captions.
late night burger combo,#food #offer,27,2,185,reel,English,late night burger combo,0,1.0,Combo Coffee,Keyword-driven content theme detected from captions.
signature arabic coffee beans,#food #offer,28,3,190,post,English,signature arabic coffee beans,0,0.5778392802467196,Combo Coffee,Keyword-driven content theme detected from captions.
new branch opening soon,#food #offer,29,4,195,reel,English,new branch opening soon,0,1.0,Combo Coffee,Keyword-driven content theme detected from captions.
spicy wings challenge now,#food #offer,30,1,200,post,English,spicy wings challenge now,0,0.3694497375090401,Combo Coffee,Keyword-driven content theme detected from captions.
weekend live music dinner,#food #offer,31,2,205,reel,English,weekend live music dinner,0,0.41955155382676346,Combo Coffee,Keyword-driven content theme detected from captions.
vegan options now available,#food #offer,32,3,210,post,English,vegan options now available,2,1.0,Salad Day,Keyword-driven content theme detected from captions.
kids meal special price,#food #offer,33,4,215,reel,English,kids meal special price,1,1.0,Family Special,Keyword-driven content theme detected from captions.
free dessert with main course,#food #offer,34,1,220,post,English,free dessert with main course,0,0.4927953049765728,Combo Coffee,Keyword-driven content theme detected from captions.
contactless delivery quick,#food #offer,35,2,225,reel,English,contactless delivery quick,0,1.0,Combo Coffee,Keyword-driven content theme detected from captions.
breakfast combo before noon,#food #offer,36,3,230,post,English,breakfast combo before noon,0,1.0,Combo Coffee,Keyword-driven content theme detected from captions.
grilled chicken family box,#food #offer,37,4,235,reel,English,grilled chicken family box,1,1.0,Family Special,Keyword-driven content theme detected from captions.
sushi platter friday offer,#food #offer,38,1,240,post,English,sushi platter friday,1,0.46258907744311006,Family Special,Keyword-driven content theme detected from captions.
daily soup and salad,#food #offer,39,2,245,reel,English,daily soup and salad,2,1.0,Salad Day,Keyword-driven content theme detected from captions.
