antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_size,consequent_size,consequent_item,count,antecedent_count,antecedents_str,reliability,target_score,count_score,lift_score,recommendation_score,strength_score,antecedent_len,selection_reason,recommendation_text
"frozenset({'hashtag=dessert', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,2,top_count,"Try using {hashtag=dessert, hashtag=vanilla}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment."
"frozenset({'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,2,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,2,top_count,"Try using {hashtag=vanilla, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment."
"frozenset({'hashtag=dessert', 'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,3,top_count,"Try using {hashtag=dessert, hashtag=vanilla, hashtag=vanilla_cake}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment."
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=dessert', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,3,top_count,"Try using {hashtag=dessert, hashtag=vanilla, hashtag=vanilla_today_and_everyday}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment."
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla_cake', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.05263157894736842,0.3026315789473684,0.05263157894736842,1.0,3.3043478260869565,0.03670360110803324,inf,0.736111111111111,3,1,performance=high_view_rate,4,4,"{hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,1.0,0.8499999999999999,3.3043478260869565,3,top_count,"Try using {hashtag=vanilla, hashtag=vanilla_cake, hashtag=vanilla_today_and_everyday}. This pattern appeared in 4 posts and 4 reached high_view_rate. Confidence: 100.0%, lift: 3.30x. Reliability: experimental. Small sample size, treat as experiment."
"frozenset({'hashtag=vanilla_today_and_everyday', 'hashtag=vanilla'})",frozenset({'performance=high_view_rate'}),0.06578947368421052,0.3026315789473684,0.05263157894736842,0.8,2.6434782608695655,0.032721606648199446,3.486842105263159,0.665492957746479,2,1,performance=high_view_rate,4,5,"{hashtag=vanilla, hashtag=vanilla_today_and_everyday}",experimental,1.0,0.4,0.8811594202898552,0.7443478260869565,2.1147826086956525,2,top_count,"Try using {hashtag=vanilla, hashtag=vanilla_today_and_everyday}. This pattern appeared in 5 posts and 4 reached high_view_rate. Confidence: 80.0%, lift: 2.64x. Reliability: experimental. Small sample size, treat as experiment."
frozenset({'hashtag=coffee'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=coffee},medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,1,top_count,"Try using {hashtag=coffee}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing."
frozenset({'hashtag=قهوة'}),frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,1,1,performance=avg_view_rate,5,8,{hashtag=قهوة},medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,1,top_count,"Try using {hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing."
"frozenset({'hashtag=coffee', 'hashtag=today_and_everyday'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,2,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=today_and_everyday}",medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,2,top_count,"Try using {hashtag=coffee, hashtag=today_and_everyday}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing."
"frozenset({'hashtag=قهوة', 'hashtag=coffee'})",frozenset({'performance=avg_view_rate'}),0.10526315789473684,0.18421052631578946,0.06578947368421052,0.625,3.3928571428571432,0.046398891966759004,2.175438596491228,0.788235294117647,2,1,performance=avg_view_rate,5,8,"{hashtag=coffee, hashtag=قهوة}",medium,0.6,0.5,1.0,0.7037500000000001,2.1205357142857144,2,top_count,"Try using {hashtag=coffee, hashtag=قهوة}. This pattern appeared in 8 posts and 5 reached avg_view_rate. Confidence: 62.5%, lift: 3.39x. Reliability: medium. Treat this as promising but continue testing."
