sector,post_type,performance_label
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,reel,avg_view_rate
Cafes/Restaurants,reel,high_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,post,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,low_view_rate
Cafes/Restaurants,reel,high_view_rate
